,Tech/No Tech,Observed Negative Impact,Previous Employers,Sought Treatment,Country_1,Country_2,Country_3,Country_4,Country_5,Country_6,Country_7,Sharing w/ Family/Friends_Neutral,Sharing w/ Family/Friends_Not applicable to me (I do not have a mental illness),Sharing w/ Family/Friends_Not open at all,Sharing w/ Family/Friends_Somewhat not open,Sharing w/ Family/Friends_Somewhat open,Sharing w/ Family/Friends_Very open,Total Employees_1,Total Employees_2,Total Employees_3,Total Employees_4,Total Employees_5,Total Employees_6,Medical Leave_I don't know,Medical Leave_Neither easy nor difficult,Medical Leave_Somewhat difficult,Medical Leave_Somewhat easy,Medical Leave_Very difficult,Medical Leave_Very easy,Negative Impact Coworkers_Maybe,"Negative Impact Coworkers_No, I don't think they would","Negative Impact Coworkers_No, they do not","Negative Impact Coworkers_Yes, I think they would","Negative Impact Coworkers_Yes, they do",State_0,State_1,State_2,State_3,State_4,Age_1,Age_2,Age_3,Age_4,Age_5,MH Identification Career Harm_Maybe,"MH Identification Career Harm_No, I don't think it would","MH Identification Career Harm_No, it has not","MH Identification Career Harm_Yes, I think it would","MH Identification Career Harm_Yes, it has",Prev MH Negative Impact_I don't know,Prev MH Negative Impact_None of them,Prev MH Negative Impact_Some of them,"Prev MH Negative Impact_Yes, all of them",Prev Formal MH Discussion_I don't know,Prev Formal MH Discussion_None did,Prev Formal MH Discussion_Some did,"Prev Formal MH Discussion_Yes, they all did",Prev Awareness of Company MH Care_I was aware of some,Prev Awareness of Company MH Care_N/A (not currently aware),"Prev Awareness of Company MH Care_No, I only became aware later","Prev Awareness of Company MH Care_Yes, I was aware of all of them",Prev MH Benefits_I don't know,"Prev MH Benefits_No, none did",Prev MH Benefits_Some did,"Prev MH Benefits_Yes, they all did",Prev Anonymity_I don't know,Prev Anonymity_No,Prev Anonymity_Sometimes,"Prev Anonymity_Yes, always",Prev Telling Supervisors_I don't know,"Prev Telling Supervisors_No, at none of my previous employers",Prev Telling Supervisors_Some of my previous employers,"Prev Telling Supervisors_Yes, at all of my previous employers",Prev Observed Unsupportive Response_Maybe/Not sure,Prev Observed Unsupportive Response_No,"Prev Observed Unsupportive Response_Yes, I experienced","Prev Observed Unsupportive Response_Yes, I observed",MH Benefits_I don't know,MH Benefits_No,MH Benefits_Not eligible for coverage / N/A,MH Benefits_Yes,Prev MH PH Equal_I don't know,Prev MH PH Equal_None did,Prev MH PH Equal_Some did,"Prev MH PH Equal_Yes, they all did",MH Potential Employer_Maybe,MH Potential Employer_No,MH Potential Employer_Yes,PH Potential Employer_Maybe,PH Potential Employer_No,PH Potential Employer_Yes,Less Likely to Reveal_Maybe,Less Likely to Reveal_No,Less Likely to Reveal_Yes,MH Family History_I don't know,MH Family History_No,MH Family History_Yes,Prev Observed Negative Impact_None of them,Prev Observed Negative Impact_Some of them,"Prev Observed Negative Impact_Yes, all of them",Gender_1.0,Gender_2.0,Gender_3.0,Remote_Always,Remote_Never,Remote_Sometimes,"Prev Telling Coworkers_No, at none of my previous employers",Prev Telling Coworkers_Some of my previous employers,"Prev Telling Coworkers_Yes, at all of my previous employers",Prev PH Negative Impact_None of them,Prev PH Negative Impact_Some of them,"Prev PH Negative Impact_Yes, all of them",Awareness of Company MH Care_I am not sure,Awareness of Company MH Care_No,Awareness of Company MH Care_Yes,Formal MH Discussion_I don't know,Formal MH Discussion_No,Formal MH Discussion_Yes,MH Resources_I don't know,MH Resources_No,MH Resources_Yes,Anonymity_I don't know,Anonymity_No,Anonymity_Yes,MH Negative Impact_Maybe,MH Negative Impact_No,MH Negative Impact_Yes,PH Negative Impact_Maybe,PH Negative Impact_No,PH Negative Impact_Yes,Telling Coworkers_Maybe,Telling Coworkers_No,Telling Coworkers_Yes,Telling Supervisors_Maybe,Telling Supervisors_No,Telling Supervisors_Yes,MH PH Equal_I don't know,MH PH Equal_No,MH PH Equal_Yes,Prev MH Resources_None did,Prev MH Resources_Some did,"Prev MH Resources_Yes, they all did",Self Employed_0
0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1
1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,1
4,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1
5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,1
6,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1
7,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1
8,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,1
10,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1
11,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1
